it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
22,2,2.279465e+05,2.393792e+04,1.744180e+04,1.579331e+06,6.853166e+03,4.518558e+01,2.122152e-08
22,3,2.098117e+05,2.203752e+04,1.605709e+04,1.488174e+06,6.446028e+03,4.231526e+01,2.118935e-08
22,4,1.106342e+02,1.538533e+00,1.003002e+00,1.183914e+04,4.956609e+01,1.939726e+00,4.158915e-08
22,5,7.973887e+01,1.266508e+00,8.157230e-01,1.071944e+04,4.495574e+01,1.768014e+00,2.790512e-08
22,6,5.491750e+01,1.016722e+00,6.582707e-01,8.648704e+03,3.630840e+01,1.450819e+00,2.814485e-08
23,1,6.590096e+08,6.874114e+07,5.012126e+07,4.042292e+09,1.758553e+07,1.106592e+05,4.320281e-08
23,2,2.189380e+05,2.284277e+04,1.665425e+04,1.439950e+06,6.234515e+03,4.062664e+01,4.330326e-08
23,3,2.001848e+05,2.089027e+04,1.523071e+04,1.357334e+06,5.863777e+03,3.785827e+01,4.333996e-08
23,4,6.640299e+01,1.414010e+00,9.330401e-01,1.326330e+04,5.512720e+01,1.728213e+00,2.453479e-08
23,5,5.153537e+01,1.356753e+00,9.269820e-01,1.157056e+04,4.802610e+01,1.506622e+00,4.703705e-08
23,6,3.618219e+01,1.089097e+00,7.541891e-01,9.117108e+03,3.797426e+01,1.197716e+00,4.597809e-08
24,1,7.334892e+08,7.620784e+07,5.560432e+07,4.178811e+09,1.813562e+07,1.120158e+05,4.632625e-08
24,2,2.080238e+05,2.161878e+04,1.577284e+04,1.284273e+06,5.542433e+03,3.533464e+01,4.647668e-08
24,3,1.906939e+05,1.982129e+04,1.446126e+04,1.216320e+06,5.236585e+03,3.301361e+01,4.638780e-08
24,4,7.767805e+01,1.313779e+00,8.615154e-01,1.300963e+04,5.379015e+01,1.097778e+00,3.509116e-08
24,5,4.838253e+01,1.343331e+00,9.095538e-01,1.268305e+04,5.292702e+01,9.802059e-01,3.384899e-08
24,6,3.125524e+01,9.759747e-01,6.514107e-01,9.769402e+03,4.126031e+01,8.423106e-01,3.960927e-08
25,1,8.220999e+08,8.508594e+07,6.212782e+07,4.306247e+09,1.864744e+07,1.126981e+05,2.446648e-08
25,2,1.973880e+05,2.043529e+04,1.492033e+04,1.131596e+06,4.869075e+03,3.026822e+01,2.429895e-08
25,3,1.798962e+05,1.862775e+04,1.360048e+04,1.069933e+06,4.590661e+03,2.816156e+01,2.538572e-08
25,4,5.433374e+01,1.568299e+00,8.952907e-01,1.481395e+04,7.911893e+01,7.726732e+00,4.277078e-08
25,5,4.363673e+01,1.270936e+00,8.544755e-01,9.516422e+03,4.026992e+01,1.489769e+00,3.699809e-08
25,6,3.080268e+01,9.585352e-01,6.267503e-01,7.041752e+03,3.130911e+01,1.131398e+00,4.722224e-08
26,1,9.165788e+08,9.464758e+07,6.913367e+07,4.476818e+09,1.932953e+07,1.141260e+05,2.156006e-08
26,2,1.876127e+05,1.937923e+04,1.415420e+04,1.018785e+06,4.365156e+03,2.636218e+01,2.133983e-08
26,3,1.701986e+05,1.758327e+04,1.284223e+04,9.526606e+05,4.070038e+03,2.448413e+01,2.117129e-08
26,4,4.994985e+01,1.041466e+00,6.926772e-01,9.373849e+03,3.882183e+01,1.347037e+00,4.643747e-08
26,5,4.442101e+01,1.047461e+00,7.012702e-01,9.069355e+03,3.768647e+01,1.287388e+00,4.493348e-08
26,6,3.785004e+01,1.070317e+00,7.197083e-01,8.590039e+03,3.613165e+01,1.331825e+00,4.337165e-08
27,1,9.669300e+08,9.968580e+07,7.282958e+07,4.530941e+09,1.954543e+07,1.148258e+05,2.917139e-08
27,2,1.834496e+05,1.891885e+04,1.382094e+04,9.608938e+05,4.111835e+03,2.456442e+01,2.903897e-08
27,3,1.668001e+05,1.720428e+04,1.256823e+04,9.122240e+05,3.889856e+03,2.332423e+01,2.904161e-08
27,4,5.524512e+01,1.054902e+00,7.122311e-01,1.127347e+04,4.657967e+01,1.532321e+00,3.014650e-08
27,5,5.001655e+01,1.001694e+00,6.761694e-01,1.056117e+04,4.364067e+01,1.209783e+00,2.946906e-08
27,6,4.335782e+01,9.445757e-01,6.382972e-01,9.849212e+03,4.074090e+01,1.001798e+00,2.797097e-08
28,1,9.981964e+08,1.027484e+08,7.507891e+07,4.560840e+09,1.966478e+07,1.153726e+05,2.979482e-08
28,2,1.808024e+05,1.861692e+04,1.360250e+04,9.252231e+05,3.956622e+03,2.358406e+01,3.008480e-08
28,3,1.659303e+05,1.708790e+04,1.248513e+04,8.725738e+05,3.722910e+03,2.235576e+01,2.993114e-08
28,4,6.429002e+01,1.328710e+00,9.235006e-01,1.109152e+04,4.643826e+01,1.262572e+00,2.764839e-08
28,5,4.541677e+01,1.130183e+00,7.729995e-01,9.589129e+03,4.046109e+01,1.140738e+00,4.712560e-08
28,6,2.958255e+01,9.843305e-01,6.738144e-01,7.062023e+03,3.076887e+01,9.056225e-01,2.448712e-08
29,1,1.108031e+09,1.137824e+08,8.318195e+07,4.641083e+09,1.998500e+07,1.167543e+05,3.655527e-08
29,2,1.733219e+05,1.780463e+04,1.301530e+04,8.193515e+05,3.497290e+03,2.103186e+01,3.672063e-08
29,3,1.589213e+05,1.632752e+04,1.193532e+04,7.796103e+05,3.317533e+03,1.989197e+01,3.680921e-08
29,4,6.378068e+01,1.315288e+00,9.219784e-01,1.206825e+04,5.085015e+01,1.951654e+00,2.809803e-08
29,5,4.685739e+01,1.106064e+00,7.730599e-01,1.058245e+04,4.420272e+01,1.219254e+00,3.184375e-08
29,6,3.479373e+01,9.209074e-01,6.392284e-01,7.871696e+03,3.308018e+01,7.033446e-01,2.737713e-08
30,1,1.177145e+09,1.207014e+08,8.826047e+07,4.685835e+09,2.016112e+07,1.176635e+05,2.316010e-08
30,2,1.691915e+05,1.735512e+04,1.268961e+04,7.635682e+05,3.255050e+03,1.958898e+01,2.323694e-08
30,3,1.552575e+05,1.592780e+04,1.164586e+04,7.224206e+05,3.070315e+03,1.835554e+01,2.323315e-08
30,4,7.487211e+01,1.431583e+00,9.733706e-01,6.399560e+03,2.735180e+01,5.050792e-01,4.197527e-08
30,5,7.081410e+01,1.367113e+00,9.292353e-01,6.099139e+03,2.611985e+01,5.072343e-01,4.214777e-08
30,6,6.567039e+01,1.285293e+00,8.734653e-01,5.729418e+03,2.461132e+01,5.120084e-01,4.238857e-08
31,1,1.208566e+09,1.239263e+08,9.062912e+07,4.726190e+09,2.032086e+07,1.184570e+05,2.651053e-08
31,2,1.672956e+05,1.716134e+04,1.254937e+04,7.463306e+05,3.177900e+03,1.907768e+01,2.675679e-08
31,3,1.526070e+05,1.565659e+04,1.144883e+04,7.121516e+05,3.020029e+03,1.790991e+01,2.667595e-08
31,4,4.885091e+01,1.143830e+00,8.069985e-01,8.663718e+03,3.591355e+01,5.615778e-01,3.006618e-08
31,5,4.032435e+01,1.035218e+00,7.245014e-01,8.294178e+03,3.433594e+01,5.278665e-01,2.990695e-08
31,6,3.147888e+01,9.880864e-01,6.835013e-01,7.686167e+03,3.179366e+01,5.369367e-01,4.753531e-08
